PU,PU_cleaned
AMER ASSOC ADVANCEMENT SCIENCE,AAAS
AMER ASSOC CANCER RESEARCH,AACR
AMER ASSOC NEUROLOGICAL SURGEONS,AANS
AMER ASSOC PHYSICISTS MEDICINE AMER INST PHYSICS,AAPM
AMER ACAD SLEEP MEDICINE,AASM
ASSOC COMPUTING MACHINERY,ACM
ACOUSTICAL SOC AMER AMER INST PHYSICS,Acoustical Society of America
AMER GEOPHYSICAL UNION,AGU
AMER INST AERONAUTICS  ASTRONAUTICS,AIAA
AMER INST MATHEMATICAL SCIENCES,AIMS
AMER INST MATHEMATICAL SCIENCES-AIMS,AIMS
AMER INST PHYSICS,AIP
AMER MEDICAL ASSOC,AMA
AMER ACAD PEDIATRICS,American Academy of Pediatrics
AMER ASSOC IMMUNOLOGISTS,American Association Immunologists
AMER CHEMICAL SOC,American Chemical Society
AMER DIABETES ASSOC,American Diabetes Association
AMER ECONOMIC ASSOC,American Economic Association
AMER MATHEMATICAL SOC,American Mathematical Society
AMER METEOROLOGICAL SOC,American Meteorological Society
AMER METEOROLOGICAL SOCIETY,American Meteorological Society
AMER PHYSICAL SOC,American Physical Society
AMER PHYSIOLOGICAL SOC,American Physiological Society
AMER PHYTOPATHOLOGICAL SOC,American Phytopathological Society
"AMER PSYCHIATRIC PUBLISHING, INC",American Psychiatric Publishing
EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,American Psychological Association
AMER PUBLIC HEALTH ASSOC INC,American Public Health Association
AMER SOC MICROBIOLOGY,American Society of Microbiology
AMER SOC NEPHROLOGY,American Society of Nephrology
AMER SOC NEURORADIOLOGY,American Society of Neuroradiology
AMER SOC NUTRITION-ASN,American Society of Nutrition
AMER VETERINARY MEDICAL ASSOC,American Veterinary Medical Association
ANNUAL REVIEWS,Annual Reviews
AMER PSYCHOLOGICAL ASSOC,APA
ASSOC RESEARCH VISION OPHTHALMOLOGY INC,ARVO
AMER STATISTICAL ASSOC,ASA
AMER SOC BIOCHEMISTRY MOLECULAR BIOLOGY INC,ASBMB
AMER SOC CELL BIOLOGY,ASCB
AMER SOC CIVIL ENGINEERS,ASCE
ASCE-AMER SOC CIVIL ENGINEERS,ASCE
AMER SOC CLINICAL INVESTIGATION INC,ASCI
AMER SOC CLINICAL ONCOLOGY,ASCO
AMER SOC HEMATOLOGY,ASH
AMER SOC MECHANICAL ENGINEERS,ASME
