PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Prieto, LR				Prieto, Loreto R.			Concerns about teaching culturally diverse students in a cross-disciplinary sample of higher education faculty	TEACHING IN HIGHER EDUCATION			English	Article; Early Access						Higher education faculty; cultural competence		I examined concerns surrounding teaching culturally diverse students held by a cross-disciplinary sample of higher education faculty at a major Midwestern university in the United States. Findings indicated as faculty levels of acceptance of culturally diverse students increased, negative faculty attitudes toward these students decreased, as did faculty concerns that these students might hold negative perceptions toward them. A greater acceptance of culturally diverse students was also associated with a faculty assigning greater importance to incorporating content regarding cultural diversity into their courses, and spending more time discussing diversity issues in class. Faculty identified chief barriers concerning the incorporation of diversity issues into their course content as: (1) not finding diversity issues relevant to their course content; (2) time constraints; and, (3) student apprehension about faculty including diversity content in courses.	[Prieto, Loreto R.] Iowa State Univ, Dept Psychol, Room 1347,Lagomarcino Hall, Ames, IA 50011 USA	Prieto, LR (corresponding author), Iowa State Univ, Dept Psychol, Room 1347,Lagomarcino Hall, Ames, IA 50011 USA.	lprieto@iastate.edu						30	0	0	1	2	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1356-2517	1470-1294		TEACH HIGH EDUC	Teach. High Educ.												10.1080/13562517.2020.1863346		DEC 2020	12	Education & Educational Research	Education & Educational Research	PM6XR	WOS:000603939800001					2021-09-15	
J	Wang, R; Dutta, S; Roy, V				Wang, Run; Dutta, Somak; Roy, Vivekananda			A note on marginal correlation based screening	STATISTICAL ANALYSIS AND DATA MINING			English	Article						correlation; feature selection; screening; sure independence screening; two-sample t-test	VARIABLE SELECTION; REGRESSION	Independence screening methods such as the two-sample t-test and the marginal correlation based ranking are among the most widely used techniques for variable selection in ultrahigh-dimensional data sets. In this short note, simple examples are used to demonstrate potential problems with the independence screening methods in the presence of correlated predictors. Also, an example is considered where all important variables are independent among themselves and all but one important variables are independent with the unimportant variables. Furthermore, a real data example from a genome-wide association study is used to illustrate inferior performance of marginal correlation screening compared to another screening method.	[Wang, Run; Dutta, Somak; Roy, Vivekananda] Iowa State Univ, Dept Stat, 3415 Snedecor Hall, Ames, IA 50011 USA	Roy, V (corresponding author), Iowa State Univ, Dept Stat, 3415 Snedecor Hall, Ames, IA 50011 USA.	vroy@iastate.edu	Dutta, Somak/AAS-1110-2020	Dutta, Somak/0000-0002-5613-8987; Roy, Vivekananda/0000-0002-2964-9503	National Institute of Food and AgricultureUnited States Department of Agriculture (USDA)National Institute of Food and Agriculture [IOW03617]; United States Department of AgricultureUnited States Department of Agriculture (USDA)	National Institute of Food and Agriculture, Grant/Award Number: IOW03617; United States Department of Agriculture		18	1	1	1	2	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1932-1864	1932-1872		STAT ANAL DATA MIN	Stat. Anal. Data Min.	FEB	2021	14	1					88	92		10.1002/sam.11491		DEC 2020	5	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Statistics & Probability	Computer Science; Mathematics	PT8YJ	WOS:000596885600001		Green Submitted			2021-09-15	
J	Zheng, XF; Wei, P				Zheng, Xufang; Wei, Peng			Air Transportation Direct Share Time Series Forecasting: A Hybrid Model	JOURNAL OF AEROSPACE INFORMATION SYSTEMS			English	Article							LOW-COST CARRIERS; NEURAL-NETWORK; RANDOM FOREST; PASSENGER; ARIMA; DEMAND; CHOICE	In modern air transportation, the direct share is the ratio of direct passengers to total passengers on a directional origin and destination (O&D) pair. The forecasting of direct share time series on the O&D level, as part of the detailed demand forecasting, plays a fundamental role in air transportation planning and development. An accurate forecasting of the O&D direct share time series can benefit the air transportation planners, airlines, and airports in multiple ways. Based on the previous analysis, the direct share time series is O&D specific. This research focuses on developing accurate direct share time series forecasting models on O&D markets with different characteristics. Both classical time series models and supervised learning regression models are investigated carefully. A novel hybrid model that combines time series concept and machine learning modeling techniques is proposed, which can provide more accurate forecasting performance and valuable insights into the O&D markets. To automatically select the forecasting model for each O&D pair, a general modeling framework is proposed for direct share time series forecasting. Based on the forecasting performance comparison, the modeling framework can provide promising direct share time series forecasting, which is a reliable replacement for the model used in the Federal Aviation Administration Terminal Area Forecast.	[Zheng, Xufang; Wei, Peng] Iowa State Univ, Dept Aerosp Engn, Ames, IA 50010 USA	Zheng, XF (corresponding author), Iowa State Univ, Dept Aerosp Engn, Ames, IA 50010 USA.		Zheng, Xufang/AAJ-3944-2021		Federal Aviation Administration project Passenger Route Share Forecast; Office of Aviation Policy and Plans, Federal Aviation Administration	This research is partially funded by the Federal Aviation Administration project Passenger Route Share Forecast. This research is under great support and help from the Office of Aviation Policy and Plans, Federal Aviation Administration. We thank all the colleagues who provided valuable insights and suggestions, especially David Chien, Roger Schaufele, and Chia-Mei Liu. We also want to send our thanks to Thea Graham, Robert Nazareth, and James Bouse for their great help on the DB1B data issues.		58	0	0	8	13	AMER INST AERONAUTICS  ASTRONAUTICS	RESTON	1801 ALEXANDER BELL DRIVE, STE 500, RESTON, VA 22091-4344 USA		2327-3097		J AEROSP INFORM SYST	J. Aerosp. Inf. Syst.	DEC	2020	17	12					682	694		10.2514/1.I010837			13	Engineering, Aerospace	Engineering	PB3MB	WOS:000596227800003					2021-09-15	
J	Siberski, CJ; Mayes, MS; Gorden, PJ; Copeland, A; Healey, M; Goetz, BM; Beiki, H; Kramer, LM; Baumgard, LH; Dixon, P; Koltes, JE				Siberski, Cori J.; Mayes, Mary S.; Gorden, Patrick J.; Copeland, Adam; Healey, Mary; Goetz, Brady M.; Beiki, Hamid; Kramer, Luke M.; Baumgard, Lance H.; Dixon, Philip; Koltes, James E.			Inclusion of automated sensor data as a predictor of feed intake increases the variance explained by a random forest model	JOURNAL OF ANIMAL SCIENCE			English	Meeting Abstract						Precision livestock technologies; feed intake; prediction			[Siberski, Cori J.; Mayes, Mary S.; Healey, Mary; Goetz, Brady M.; Beiki, Hamid; Kramer, Luke M.; Baumgard, Lance H.; Koltes, James E.] Iowa State Univ, Dept Anim Sci, Ames, IA USA; [Gorden, Patrick J.; Copeland, Adam] Iowa State Univ, Vet Diagnost & Prod Anim Med, Ames, IA USA; [Dixon, Philip] Iowa State Univ, Dept Stat, Ames, IA USA			Gorden, Patrick/AAT-4403-2021	Gorden, Patrick/0000-0002-6096-0965				0	0	0	1	1	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0021-8812	1525-3163		J ANIM SCI	J. Anim. Sci.	NOV	2020	98			4		PSXI-16	394	394		10.1093/jas/skaa278.694			1	Agriculture, Dairy & Animal Science	Agriculture	PY6VG	WOS:000612179900695					2021-09-15	
J	Sebbag, L; Kirner, NS; Wulf, LW; Mochel, JP				Sebbag, Lionel; Kirner, Nicolette S.; Wulf, Larry W.; Mochel, Jonathan P.			Tear Film Pharmacokinetics and Systemic Absorption Following Topical Administration of 1% Prednisolone Acetate Ophthalmic Suspension in Dogs	FRONTIERS IN VETERINARY SCIENCE			English	Article						prednisolone acetate; pharmacokinetics; corticosteroid; tear film; systemic absorption; ocular pharmacology; tear collection; canine	ADRENAL-GLAND; DEXAMETHASONE; CORTICOSTEROIDS; EYE; PENETRATION; HYDROCORTISONE; DIFLUPREDNATE; 0.05-PERCENT; DELIVERY; ANTERIOR	The study aimed to determine the tear film pharmacokinetics following topical administration of 1% prednisolone acetate-assessing whether two drops would provide a superior kinetic profile compared to one drop-and to determine the fraction of an eye drop that reaches the systemic circulation in dogs. Two separate experiments were conducted in eight healthy Beagle dogs: (i) Instillation of 1 drop (35 mu L) or 2 drops (70 mu L) of 1% prednisolone acetate ophthalmic suspension in each eye, followed by tear collections with Schirmer strips from 0 to 720 min; (ii) Instillation of 1 or 2 drops of 1% prednisolone acetate in both eyes 4 times daily for 3 days, followed by blood collection 10-15 min after each topical administration on Day 3. Tear and blood samples were analyzed with high performance liquid chromatography to determine the levels of prodrug (prednisolone acetate), active metabolite (prednisolone) and total prednisolone (prednisolone(total) = prodrug + active metabolite). Prednisolone levels represented 10 and 72% of prednisolone(total) concentrations in tears and plasma, respectively, indicating a greater hydrolysis of prodrug in the blood vs. tear compartment. For eyes receiving one or two drops, tear film prednisolone(total) concentrations were high (similar to 3.1 mg/mL) immediately following topical administration but rapidly decreased by similar to 45% at 1 min and similar to 95% at 15 min. No differences were noted between 1 vs. 2 drops in tear film prednisolone(total) concentrations (including maximal concentration, C-max) or residual drug levels in tears at any time point (P >= 0.097); however, instillation of 2 drops provided a higher average tear concentration (C-avg) and overall drug exposure to the ocular surface (AUC(last)) over the 12-h sampling period (P = 0.009). Average plasma prednisolone(total) concentration represented <= 2% of the dose applied to the ocular surface, and did not differ significantly for dogs receiving 1 drop (17 ng/mL) or 2 drops (20 ng/mL) 4 times daily for 3 days (P = 0.438). In sum, topical corticotherapy is beneficial for inflammatory conditions of the canine anterior segment given the relatively high concentrations achieved in tears, although caution is warranted to prevent unwanted local or systemic adverse effects.	[Sebbag, Lionel] Iowa State Univ, Coll Vet Med, Dept Vet Clin Sci, Ames, IA 50011 USA; [Sebbag, Lionel; Mochel, Jonathan P.] Iowa State Univ, Coll Vet Med, SMART Pharmacol, Dept Biomed Sci, Ames, IA 50011 USA; [Kirner, Nicolette S.] Iowa State Univ, Coll Vet Med, Lloyd Vet Med Ctr, Ames, IA USA; [Wulf, Larry W.] Iowa State Univ, Coll Vet Med, PhAST Lab, Ames, IA USA	Sebbag, L (corresponding author), Iowa State Univ, Coll Vet Med, Dept Vet Clin Sci, Ames, IA 50011 USA.; Sebbag, L; Mochel, JP (corresponding author), Iowa State Univ, Coll Vet Med, SMART Pharmacol, Dept Biomed Sci, Ames, IA 50011 USA.	lsebbag@iastate.edu; jmochel@iastate.edu	Mochel, Jonathan/AAR-3496-2021	Mochel, Jonathan/0000-0002-0997-3111				56	1	1	1	1	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND		2297-1769		FRONT VET SCI	Front. Vet. Sci.	OCT 27	2020	7								571350	10.3389/fvets.2020.571350			9	Veterinary Sciences	Veterinary Sciences	OO9KJ	WOS:000587691900001	33195562	Green Published, gold			2021-09-15	
J	Frame, CA; Huff-Lonergan, EJ; Serao, MCR				Frame, Carl A.; Huff-Lonergan, Elisabeth J.; Serao, Mariana C. Rossoni			Impact of storage conditions on protein oxidation of rendered by-product meals	TRANSLATIONAL ANIMAL SCIENCE			English	Article						antioxidant; pet food; protein carbonyl; protein oxidation; rendering	DIETARY OXIDIZED TYROSINE; GROWTH-PERFORMANCE; THERMAL-STABILITY; HEAT-TREATMENT; QUALITY; ISOLATE; ANTIOXIDANTS; TEMPERATURE; BROILERS; MICE	Rendered products used in animal feed and pet food undergo extreme temperatures during manufacturing and may be stored up to 2 yr. No information is available on protein oxidation in these products. The objective of this study was to determine the extent to which typical antioxidant inclusion at different storage conditions may limit protein oxidation in typical rendered protein meals. Two experiments were conducted on 14 rendered products stored at either 45 degrees C for 7 or 14 d, or at 20 degrees C for 3 or 6 mo to determine the extent to which time, temperature, and antioxidants affect protein oxidation. Results from this study show that fish meal and chicken blood meal are susceptible to protein oxidation during storage at 45 degrees C (P = 0.05; 0.03) as well as during storage at 20 degrees C (P = 0.01; 0.04). Natural antioxidants were effective at limiting carbonyl formation in fish meal during short-term storage at 45 degrees C, whereas ethoxyquin was effective at limiting the extent of protein oxidation in fish meal stored long term at 20 degrees C.	[Frame, Carl A.; Huff-Lonergan, Elisabeth J.; Serao, Mariana C. Rossoni] Iowa State Univ, Dept Anim Sci, Ames, IA 50010 USA	Serao, MCR (corresponding author), Iowa State Univ, Dept Anim Sci, Ames, IA 50010 USA.	mcrserao@iastate.edu	Huff-Lonergan, Elisabeth/C-7557-2009	Huff-Lonergan, Elisabeth/0000-0001-5012-3277; Frame, Carl/0000-0002-6385-2505	Fats & Proteins Research Foundation, Inc.	The authors would like to thank APC Inc., Ankeny, IA, Cargill Meat Solutions, Wichita, KS, Tyson Foods, Springdale, AR, and American Seafood, Seattle, WA for the use of their product. The authors gratefully acknowledge the Fats & Proteins Research Foundation, Inc. for support.		37	2	2	5	5	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA		2573-2102		TRANSL ANIM SCI	Transl. Anim. Sci.	OCT	2020	4	4							txaa205	10.1093/tas/txaa205			9	Agriculture, Dairy & Animal Science	Agriculture	PR9OH	WOS:000607559600031	33354659	Green Published, gold			2021-09-15	
J	Osmond, PJ				Osmond, Patricia J.			The Invention of Rome: Biondo Flavio's Roma Triumphans and Its Worlds	ERUDITION AND THE REPUBLIC OF LETTERS			English	Book Review									[Osmond, Patricia J.] Iowa State Univ, Coll Design, Dept Art & Visual Culture, Ames, IA 50011 USA	Osmond, PJ (corresponding author), Iowa State Univ, Coll Design, Dept Art & Visual Culture, Ames, IA 50011 USA.	osmond@iastate.edu						1	0	0	0	0	BRILL	LEIDEN	PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS	2405-5050	2405-5069		ERUDITION REPUB LETT	Erudition Repub. Lett.	OCT	2020	5	4					483	489		10.1163/24055069-00504004			7	History	History	RT9YD	WOS:000644808500004					2021-09-15	
J	Nagle, CL				Nagle, Charles L.			Revisiting Perception-Production Relationships: Exploring a New Approach to Investigate Perception as a Time-Varying Predictor	LANGUAGE LEARNING			English	Article						speech perception; speech production; longitudinal mixed-effects modeling; time-varying predictors; L2 Spanish	VOICE-ONSET TIME; INDIVIDUAL-DIFFERENCES; SPEECH-PERCEPTION; CROSS-LANGUAGE; ENGLISH; ACQUISITION; SPEAKERS; BILINGUALS; CONSONANTS; MODELS	Models of L2 pronunciation learning have hypothesized that accurate speech perception promotes accurate speech production. This claim can be evaluated longitudinally by examining the extent to which changes in stop consonant perception predict changes in stop consonant production. Taking a time-sensitive view of the perception-production link, this study used longitudinal data to analyze perception as a time-varying predictor of production accuracy. Mixed-effects models were fit to oddity, delayed word repetition, and picture description tasks to examine how participants' perception and production changed over time. Oddity task perception data were then decomposed into their between- and within-subjects components and integrated into the delayed repetition and picture description production models. Surprisingly, only the between-subjects predictors reached significance, and the strength of the perception-production link varied across production tasks and target phones. The methods used have implications for future research on perception-production links.	[Nagle, Charles L.] Iowa State Univ, Ames, IA USA	Nagle, CL (corresponding author), Iowa State Univ, Dept World Languages & Cultures, 505 Morrill Rd,3102G Pearson Hall, Ames, IA 50011 USA.	cnagle@iastate.edu		Nagle, Charles/0000-0003-2712-2705	Language Learning Early Career Research Grant	This study was supported by a Language Learning Early Career Research Grant. I would like to express my sincere gratitude to German Zarate-Sandez and Mari Sakai, who have supported and encouraged me from the very start of this project. I am indebted to Shelby Bruun, Alexandra Urbanski, Laura Valderrama, Sonca Vo, and Ziwei Zhou for their help with data collection, processing, and analysis, and to Pavel Trofimovich, Emma Marsden, and the anonymous reviewers, whose insightful feedback has significantly enhanced the quality of this article.		58	3	3	4	8	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0023-8333	1467-9922		LANG LEARN	Lang. Learn.	MAR	2021	71	1					243	279		10.1111/lang.12431		SEP 2020	37	Education & Educational Research; Linguistics	Education & Educational Research; Linguistics	QD4TX	WOS:000567451900001					2021-09-15	
J	Dehghanpour, K; Yuan, YX; Bu, FK; Wang, ZY				Dehghanpour, Kaveh; Yuan, Yuxuan; Bu, Fankun; Wang, Zhaoyu			Statistical Modeling of Networked Solar Resources for Assessing and Mitigating Risk of Interdependent Inverter Tripping Events in Distribution Grids	IEEE TRANSACTIONS ON POWER SYSTEMS			English	Article						Inverters; Mathematical model; Load modeling; Numerical models; Probabilistic logic; Real-time systems; Switches; Probabilistic modeling; power statistics; risk assessment; tripping events	VOLTAGE CONTROL; GENERATION; IMPACT; PENETRATION; SYSTEMS; ENERGY	It is speculated that higher penetration of inverter-based distributed photo-voltaic (PV) power generators can increase the risk of tripping events due to voltage fluctuations. To quantify this risk utilities need to solve the interactive equations of tripping events for networked PVs in real-time. However, these equations are non-differentiable, nonlinear, and exponentially complex, and thus, cannot be used as a tractable basis for solar curtailment prediction and mitigation. Furthermore, load/PV power values might not be available in real-time due to limited grid observability, which further complicates tripping event prediction. To address these challenges, we have employed Chebyshev's inequality to obtain an alternative probabilistic model for quantifying the risk of tripping for networked PVs. The proposed model enables operators to estimate the probability of interdependent inverter tripping events using only PV/load statistics and in a scalable manner. Furthermore, by integrating this probabilistic model into an optimization framework, countermeasures are designed to mitigate massive interdependent tripping events. Since the proposed model is parameterized using only the statistical characteristics of nodal active/reactive powers, it is especially beneficial in practical systems, which have limited real-time observability. Numerical experiments have been performed employing real data and feeder models to verify the performance of the proposed technique.	[Dehghanpour, Kaveh; Yuan, Yuxuan; Bu, Fankun; Wang, Zhaoyu] Iowa State Univ, Dept Elect & Comp Engn, Ames, IA 50011 USA	Wang, ZY (corresponding author), Iowa State Univ, Dept Elect & Comp Engn, Ames, IA 50011 USA.	kavehd@iastate.edu; yuanyx@iastate.edu; fbu@iastate.edu; wzy@iastate.edu	Yuan, Yuxuan/AAS-4150-2021; Wang, Zhaoyu/AAA-8275-2020	Wang, Zhaoyu/0000-0003-0656-0562; Dehghanpour, Kaveh/0000-0002-2701-6817; Bu, Fankun/0000-0002-0007-5163	Advanced Grid Modeling Program at the U.S. Department of Energy Office of Electricity [DE-OE0000875]; National Science FoundationNational Science Foundation (NSF) [ECCS 1929975]	This work was supported in part by the Advanced Grid Modeling Program at the U.S. Department of Energy Office of Electricity under Grant DE-OE0000875, and in part by the National Science Foundation under Grant ECCS 1929975. Paper no. TPWRS-01138-2019.		36	0	0	0	1	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	0885-8950	1558-0679		IEEE T POWER SYST	IEEE Trans. Power Syst.	SEPT	2020	35	5					3835	3846		10.1109/TPWRS.2020.2973380			12	Engineering, Electrical & Electronic	Engineering	ND6PG	WOS:000562025100001		Green Submitted			2021-09-15	
J	Nonnecke, GR				Nonnecke, Gail Romberger			Engaging University Students in International Development Projects -Lessons Learned and Impacts from a 15-year School Garden Program in Uganda	HORTSCIENCE			English	Meeting Abstract									[Nonnecke, Gail Romberger] Iowa State Univ, Ames, IA USA								0	0	0	0	0	AMER SOC HORTICULTURAL SCIENCE	ALEXANDRIA	113 S WEST ST, STE 200, ALEXANDRIA, VA 22314-2851 USA	0018-5345	2327-9834		HORTSCIENCE	Hortscience	SEP	2020	55	9		S			S114	S114					1	Horticulture	Agriculture	QO6LU	WOS:000623253400224					2021-09-15	
